"LoincNumber","PartNumber","PartTypeName","PartSequenceOrder","PartName"
"28651-8","LP173226-4","Document.TypeOfService","1","Transfer summary"
"28651-8","LP173061-5","Document.Setting","1","{Setting}"
"28651-8","LP173075-5","Document.Role","1","Nurse"
"28653-4","LP173418-7","Document.Kind","1","Note"
"28653-4","LP173061-5","Document.Setting","1","{Setting}"
"28653-4","LP173024-3","Document.SubjectMatterDomain","1","Social work"
"28654-2","LP173418-7","Document.Kind","1","Note"
"28654-2","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"28654-2","LP173061-5","Document.Setting","1","{Setting}"
"28654-2","LP173085-4","Document.Role","1","Physician attending"
"28655-9","LP173418-7","Document.Kind","1","Note"
"28655-9","LP173221-5","Document.TypeOfService","1","Discharge summary"
"28655-9","LP173061-5","Document.Setting","1","{Setting}"
"28655-9","LP173085-4","Document.Role","1","Physician attending"
"28656-7","LP173418-7","Document.Kind","1","Note"
"28656-7","LP173213-2","Document.TypeOfService","1","Progress"
"28656-7","LP173061-5","Document.Setting","1","{Setting}"
"28656-7","LP173024-3","Document.SubjectMatterDomain","1","Social work"
"29753-1","LP173418-7","Document.Kind","1","Note"
"29753-1","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"29753-1","LP173061-5","Document.Setting","1","{Setting}"
"29753-1","LP173075-5","Document.Role","1","Nurse"
"29761-4","LP173418-7","Document.Kind","1","Note"
"29761-4","LP173221-5","Document.TypeOfService","1","Discharge summary"
"29761-4","LP173061-5","Document.Setting","1","{Setting}"
"29761-4","LP172934-4","Document.SubjectMatterDomain","1","Dentistry"
"34094-3","LP173418-7","Document.Kind","1","Note"
"34094-3","LP173200-9","Document.TypeOfService","1","Admission history and physical"
"34094-3","LP173065-6","Document.Setting","1","Hospital"
"34094-3","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"34095-0","LP173418-7","Document.Kind","1","Note"
"34095-0","LP173201-7","Document.TypeOfService","1","Comprehensive history and physical"
"34095-0","LP173061-5","Document.Setting","1","{Setting}"
"34095-0","LP187187-2","Document.Role","1","{Role}"
"34096-8","LP173418-7","Document.Kind","1","Note"
"34096-8","LP173201-7","Document.TypeOfService","1","Comprehensive history and physical"
"34096-8","LP173048-2","Document.Setting","1","Nursing facility"
"34096-8","LP187187-2","Document.Role","1","{Role}"
"34097-6","LP173418-7","Document.Kind","1","Note"
"34097-6","LP173099-5","Document.TypeOfService","1","Conference"
"34097-6","LP173048-2","Document.Setting","1","Nursing facility"
"34097-6","LP187187-2","Document.Role","1","{Role}"
"34098-4","LP173418-7","Document.Kind","1","Note"
"34098-4","LP173099-5","Document.TypeOfService","1","Conference"
"34098-4","LP173061-5","Document.Setting","1","{Setting}"
"34098-4","LP187187-2","Document.Role","1","{Role}"
"34099-2","LP173418-7","Document.Kind","1","Note"
"34099-2","LP173110-0","Document.TypeOfService","1","Consultation"
"34099-2","LP173061-5","Document.Setting","1","{Setting}"
"34099-2","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"34100-8","LP173418-7","Document.Kind","1","Note"
"34100-8","LP173110-0","Document.TypeOfService","1","Consultation"
"34100-8","LP173045-8","Document.Setting","1","Intensive care unit"
"34100-8","LP187187-2","Document.Role","1","{Role}"
"34101-6","LP173418-7","Document.Kind","1","Note"
"34101-6","LP173110-0","Document.TypeOfService","1","Consultation"
"34101-6","LP173051-6","Document.Setting","1","Outpatient"
"34101-6","LP172946-8","Document.SubjectMatterDomain","1","General medicine"
"34102-4","LP173418-7","Document.Kind","1","Note"
"34102-4","LP173110-0","Document.TypeOfService","1","Consultation"
"34102-4","LP173065-6","Document.Setting","1","Hospital"
"34102-4","LP173011-0","Document.SubjectMatterDomain","1","Psychiatry"
"34103-2","LP173418-7","Document.Kind","1","Note"
"34103-2","LP173110-0","Document.TypeOfService","1","Consultation"
"34103-2","LP173061-5","Document.Setting","1","{Setting}"
"34103-2","LP173015-1","Document.SubjectMatterDomain","1","Pulmonary disease"
"34104-0","LP173418-7","Document.Kind","1","Note"
"34104-0","LP173110-0","Document.TypeOfService","1","Consultation"
"34104-0","LP173065-6","Document.Setting","1","Hospital"
"34104-0","LP187187-2","Document.Role","1","{Role}"
"34105-7","LP173418-7","Document.Kind","1","Note"
"34105-7","LP173221-5","Document.TypeOfService","1","Discharge summary"
"34105-7","LP173065-6","Document.Setting","1","Hospital"
"34105-7","LP187187-2","Document.Role","1","{Role}"
"34106-5","LP173418-7","Document.Kind","1","Note"
"34106-5","LP173221-5","Document.TypeOfService","1","Discharge summary"
"34106-5","LP173065-6","Document.Setting","1","Hospital"
"34106-5","LP173084-7","Document.Role","1","Physician"
"34107-3","LP173418-7","Document.Kind","1","Note"
"34107-3","LP173117-5","Document.TypeOfService","1","Education"
"34107-3","LP173056-5","Document.Setting","1","Patient's home"
"34107-3","LP187187-2","Document.Role","1","{Role}"
"34108-1","LP173418-7","Document.Kind","1","Note"
"34108-1","LP173051-6","Document.Setting","1","Outpatient"
"34108-1","LP187187-2","Document.Role","1","{Role}"
"34109-9","LP173418-7","Document.Kind","1","Note"
"34109-9","LP173061-5","Document.Setting","1","{Setting}"
"34109-9","LP187187-2","Document.Role","1","{Role}"
"34110-7","LP173418-7","Document.Kind","1","Note"
"34110-7","LP173051-6","Document.Setting","1","Outpatient"
"34110-7","LP172938-5","Document.SubjectMatterDomain","1","Diabetology"
"34111-5","LP173418-7","Document.Kind","1","Note"
"34111-5","LP173043-3","Document.Setting","1","Emergency department"
"34111-5","LP187187-2","Document.Role","1","{Role}"
"34112-3","LP173418-7","Document.Kind","1","Note"
"34112-3","LP173065-6","Document.Setting","1","Hospital"
"34112-3","LP187187-2","Document.Role","1","{Role}"
"34113-1","LP173418-7","Document.Kind","1","Note"
"34113-1","LP173048-2","Document.Setting","1","Nursing facility"
"34113-1","LP187187-2","Document.Role","1","{Role}"
"34114-9","LP173418-7","Document.Kind","1","Note"
"34114-9","LP173113-4","Document.TypeOfService","1","Group counseling"
"34114-9","LP173065-6","Document.Setting","1","Hospital"
"34114-9","LP187187-2","Document.Role","1","{Role}"
"34115-6","LP173418-7","Document.Kind","1","Note"
"34115-6","LP173198-5","Document.TypeOfService","1","History and physical"
"34115-6","LP173065-6","Document.Setting","1","Hospital"
"34115-6","LP173092-0","Document.Role","1","Medical student"
"34116-4","LP173418-7","Document.Kind","1","Note"
"34116-4","LP173198-5","Document.TypeOfService","1","History and physical"
"34116-4","LP173048-2","Document.Setting","1","Nursing facility"
"34116-4","LP173084-7","Document.Role","1","Physician"
"34117-2","LP173418-7","Document.Kind","1","Note"
"34117-2","LP173198-5","Document.TypeOfService","1","History and physical"
"34117-2","LP173061-5","Document.Setting","1","{Setting}"
"34117-2","LP187187-2","Document.Role","1","{Role}"
"34118-0","LP173418-7","Document.Kind","1","Note"
"34118-0","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"34118-0","LP173056-5","Document.Setting","1","Patient's home"
"34118-0","LP187187-2","Document.Role","1","{Role}"
"34119-8","LP173418-7","Document.Kind","1","Note"
"34119-8","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"34119-8","LP173048-2","Document.Setting","1","Nursing facility"
"34119-8","LP187187-2","Document.Role","1","{Role}"
"34120-6","LP173418-7","Document.Kind","1","Note"
"34120-6","LP173204-1","Document.TypeOfService","1","Initial evaluation"
"34120-6","LP173051-6","Document.Setting","1","Outpatient"
"34120-6","LP187187-2","Document.Role","1","{Role}"
"34121-4","LP173418-7","Document.Kind","1","Note"
"34121-4","LP173235-5","Document.TypeOfService","1","Interventional procedure"
"34121-4","LP173061-5","Document.Setting","1","{Setting}"
"34121-4","LP187187-2","Document.Role","1","{Role}"
"34123-0","LP173418-7","Document.Kind","1","Note"
"34123-0","LP173216-5","Document.TypeOfService","1","Preoperative evaluation and management"
"34123-0","LP173065-6","Document.Setting","1","Hospital"
"34123-0","LP172918-7","Document.SubjectMatterDomain","1","Anesthesiology"
"34124-8","LP173418-7","Document.Kind","1","Note"
"34124-8","LP173213-2","Document.TypeOfService","1","Progress"
"34124-8","LP173051-6","Document.Setting","1","Outpatient"
"34124-8","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"34125-5","LP173418-7","Document.Kind","1","Note"
"34125-5","LP173213-2","Document.TypeOfService","1","Progress"
"34125-5","LP173056-5","Document.Setting","1","Patient's home"
"34125-5","LP173067-2","Document.Role","1","Case manager"
"34126-3","LP173418-7","Document.Kind","1","Note"
"34126-3","LP173213-2","Document.TypeOfService","1","Progress"
"34126-3","LP173045-8","Document.Setting","1","Intensive care unit"
"34126-3","LP187187-2","Document.Role","1","{Role}"
"34127-1","LP173418-7","Document.Kind","1","Note"
"34127-1","LP173213-2","Document.TypeOfService","1","Progress"
"34127-1","LP173051-6","Document.Setting","1","Outpatient"
"34127-1","LP172934-4","Document.SubjectMatterDomain","1","Dentistry"
"34127-1","LP173071-4","Document.Role","1","Hygienist"
"34128-9","LP173418-7","Document.Kind","1","Note"
"34128-9","LP173213-2","Document.TypeOfService","1","Progress"
"34128-9","LP173051-6","Document.Setting","1","Outpatient"
"34128-9","LP172934-4","Document.SubjectMatterDomain","1","Dentistry"
"34129-7","LP173418-7","Document.Kind","1","Note"
"34129-7","LP173213-2","Document.TypeOfService","1","Progress"
"34129-7","LP173056-5","Document.Setting","1","Patient's home"
"34129-7","LP187187-2","Document.Role","1","{Role}"
"34130-5","LP173418-7","Document.Kind","1","Note"
"34130-5","LP173213-2","Document.TypeOfService","1","Progress"
"34130-5","LP173065-6","Document.Setting","1","Hospital"
"34130-5","LP187187-2","Document.Role","1","{Role}"
"34131-3","LP173418-7","Document.Kind","1","Note"
"34131-3","LP173213-2","Document.TypeOfService","1","Progress"
"34131-3","LP173051-6","Document.Setting","1","Outpatient"
"34131-3","LP187187-2","Document.Role","1","{Role}"
"34132-1","LP173418-7","Document.Kind","1","Note"
"34132-1","LP173213-2","Document.TypeOfService","1","Progress"
"34132-1","LP173051-6","Document.Setting","1","Outpatient"
"34132-1","LP173003-7","Document.SubjectMatterDomain","1","Pharmacology"
"34133-9","LP173418-7","Document.Kind","1","Note"
"34133-9","LP173224-9","Document.TypeOfService","1","Summary of episode"
"34133-9","LP173061-5","Document.Setting","1","{Setting}"
"34133-9","LP187187-2","Document.Role","1","{Role}"
"34134-7","LP173418-7","Document.Kind","1","Note"
"34134-7","LP173104-3","Document.TypeOfService","1","Supervisory"
"34134-7","LP173051-6","Document.Setting","1","Outpatient"
"34134-7","LP173085-4","Document.Role","1","Physician attending"
"34135-4","LP173418-7","Document.Kind","1","Note"
"34135-4","LP173104-3","Document.TypeOfService","1","Supervisory"
"34135-4","LP173051-6","Document.Setting","1","Outpatient"
"34135-4","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"34135-4","LP173085-4","Document.Role","1","Physician attending"
"34136-2","LP173418-7","Document.Kind","1","Note"
"34136-2","LP173104-3","Document.TypeOfService","1","Supervisory"
"34136-2","LP173051-6","Document.Setting","1","Outpatient"
"34136-2","LP172945-0","Document.SubjectMatterDomain","1","Gastroenterology"
"34136-2","LP173085-4","Document.Role","1","Physician attending"
"34137-0","LP173418-7","Document.Kind","1","Note"
"34137-0","LP173214-0","Document.TypeOfService","1","Surgical operation"
"34137-0","LP173051-6","Document.Setting","1","Outpatient"
"34137-0","LP187187-2","Document.Role","1","{Role}"
"34138-8","LP173418-7","Document.Kind","1","Note"
"34138-8","LP173203-3","Document.TypeOfService","1","Targeted history and physical"
"34138-8","LP173061-5","Document.Setting","1","{Setting}"
"34138-8","LP187187-2","Document.Role","1","{Role}"
"34139-6","LP173418-7","Document.Kind","1","Note"
"34139-6","LP173059-9","Document.Setting","1","Telephone encounter"
"34139-6","LP173075-5","Document.Role","1","Nurse"
"34744-3","LP173418-7","Document.Kind","1","Note"
"34744-3","LP173205-8","Document.TypeOfService","1","Admission evaluation"
"34744-3","LP173061-5","Document.Setting","1","{Setting}"
"34744-3","LP173075-5","Document.Role","1","Nurse"
"34745-0","LP173418-7","Document.Kind","1","Note"
"34745-0","LP173221-5","Document.TypeOfService","1","Discharge summary"
"34745-0","LP173061-5","Document.Setting","1","{Setting}"
"34745-0","LP173075-5","Document.Role","1","Nurse"
"34746-8","LP173418-7","Document.Kind","1","Note"
"34746-8","LP173061-5","Document.Setting","1","{Setting}"
"34746-8","LP173075-5","Document.Role","1","Nurse"
"34747-6","LP173418-7","Document.Kind","1","Note"
"34747-6","LP173216-5","Document.TypeOfService","1","Preoperative evaluation and management"
"34747-6","LP173061-5","Document.Setting","1","{Setting}"
"34747-6","LP173075-5","Document.Role","1","Nurse"
"34748-4","LP173418-7","Document.Kind","1","Note"
"34748-4","LP173059-9","Document.Setting","1","Telephone encounter"
"34748-4","LP187187-2","Document.Role","1","{Role}"
"34749-2","LP173418-7","Document.Kind","1","Note"
"34749-2","LP173110-0","Document.TypeOfService","1","Consultation"
"34749-2","LP173051-6","Document.Setting","1","Outpatient"
"34749-2","LP172918-7","Document.SubjectMatterDomain","1","Anesthesiology"
"34750-0","LP173418-7","Document.Kind","1","Note"
"34750-0","LP173061-5","Document.Setting","1","{Setting}"
"34750-0","LP172918-7","Document.SubjectMatterDomain","1","Anesthesiology"
"34751-8","LP173418-7","Document.Kind","1","Note"
"34751-8","LP173216-5","Document.TypeOfService","1","Preoperative evaluation and management"
"34751-8","LP173061-5","Document.Setting","1","{Setting}"
"34751-8","LP172918-7","Document.SubjectMatterDomain","1","Anesthesiology"
"34752-6","LP173418-7","Document.Kind","1","Note"
"34752-6","LP173061-5","Document.Setting","1","{Setting}"
"34752-6","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"34753-4","LP173418-7","Document.Kind","1","Note"
"34753-4","LP173051-6","Document.Setting","1","Outpatient"
"34753-4","LP172921-1","Document.SubjectMatterDomain","1","Cardiovascular disease"
"34754-2","LP173418-7","Document.Kind","1","Note"
"34754-2","LP173061-5","Document.Setting","1","{Setting}"
"34754-2","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"34755-9","LP173418-7","Document.Kind","1","Note"
"34755-9","LP173226-4","Document.TypeOfService","1","Transfer summary"
"34755-9","LP173061-5","Document.Setting","1","{Setting}"
"34755-9","LP172933-6","Document.SubjectMatterDomain","1","Critical care medicine"
"34756-7","LP173418-7","Document.Kind","1","Note"
"34756-7","LP173110-0","Document.TypeOfService","1","Consultation"
"34756-7","LP173061-5","Document.Setting","1","{Setting}"
"34756-7","LP172934-4","Document.SubjectMatterDomain","1","Dentistry"
"34758-3","LP173418-7","Document.Kind","1","Note"
"34758-3","LP173110-0","Document.TypeOfService","1","Consultation"
"34758-3","LP173061-5","Document.Setting","1","{Setting}"
"34758-3","LP172935-1","Document.SubjectMatterDomain","1","Dermatology"
"34759-1","LP173418-7","Document.Kind","1","Note"
"34759-1","LP173061-5","Document.Setting","1","{Setting}"
"34759-1","LP172935-1","Document.SubjectMatterDomain","1","Dermatology"
"34760-9","LP173418-7","Document.Kind","1","Note"
"34760-9","LP173110-0","Document.TypeOfService","1","Consultation"
"34760-9","LP173061-5","Document.Setting","1","{Setting}"
"34760-9","LP172938-5","Document.SubjectMatterDomain","1","Diabetology"
"34761-7","LP173418-7","Document.Kind","1","Note"
"34761-7","LP173110-0","Document.TypeOfService","1","Consultation"
"34761-7","LP173061-5","Document.Setting","1","{Setting}"
"34761-7","LP172945-0","Document.SubjectMatterDomain","1","Gastroenterology"
"34762-5","LP173418-7","Document.Kind","1","Note"
"34762-5","LP173061-5","Document.Setting","1","{Setting}"
"34762-5","LP172945-0","Document.SubjectMatterDomain","1","Gastroenterology"
"34763-3","LP173418-7","Document.Kind","1","Note"
"34763-3","LP173200-9","Document.TypeOfService","1","Admission history and physical"
"34763-3","LP173061-5","Document.Setting","1","{Setting}"
"34763-3","LP172946-8","Document.SubjectMatterDomain","1","General medicine"
"34764-1","LP173418-7","Document.Kind","1","Note"
