d_label,label_type,value_lb,value_ub,measurement_concept_id,measurement_type_concept_id,unit_concept_id
L FEM ART BP,map_bp,10,400,3027598,44818701,8876
(L) FEM ART,map_bp,10,400,3027598,44818701,8876
RAD ART S/D,map_bp,10,400,3027598,44818701,8876
Fem Art BP,map_bp,10,400,3027598,44818701,8876
Arterial BP(Rad),map_bp,10,400,3027598,44818701,8876
r fem art line,map_bp,10,400,3027598,44818701,8876
art mean,map_bp,10,400,3027598,44818701,8876
arterial mean #2,map_bp,10,400,3027598,44818701,8876
NBP Mean,map_bp,10,400,3027598,44818701,8876
BP Cuff [Mean],map_bp,10,400,3027598,44818701,8876
BP UAC [Mean],map_bp,10,400,3027598,44818701,8876
BP PAL [Mean],map_bp,10,400,3027598,44818701,8876
BP Left Arm [Mean],map_bp,10,400,3027598,44818701,8876
Manual BP Mean(calc),map_bp,10,400,3027598,44818701,8876
BP Left Leg [Mean],map_bp,10,400,3027598,44818701,8876
BP Right Leg [Mean],map_bp,10,400,3027598,44818701,8876
BP Right Arm [Mean],map_bp,10,400,3027598,44818701,8876
FEM ABP,map_bp,10,400,3027598,44818701,8876
RIGHT FEM ABP,map_bp,10,400,3027598,44818701,8876
IABP-BP,map_bp,10,400,3027598,44818701,8876
LEFT FEM ABP,map_bp,10,400,3027598,44818701,8876
left radial ABP,map_bp,10,400,3027598,44818701,8876
"FEM, ABP",map_bp,10,400,3027598,44818701,8876
right fem bp,map_bp,10,400,3027598,44818701,8876
FEMORAL ABP,map_bp,10,400,3027598,44818701,8876
Femoral ABP,map_bp,10,400,3027598,44818701,8876
LFEMABP,map_bp,10,400,3027598,44818701,8876
FEM LINE BP,map_bp,10,400,3027598,44818701,8876
RADIAL ABP,map_bp,10,400,3027598,44818701,8876
L ulnar ABP,map_bp,10,400,3027598,44818701,8876
IABP BP,map_bp,10,400,3027598,44818701,8876
iabp-bp,map_bp,10,400,3027598,44818701,8876
BP Q8H,map_bp,10,400,3027598,44818701,8876
fem abp,map_bp,10,400,3027598,44818701,8876
FEMORAL ABP S/D,map_bp,10,400,3027598,44818701,8876
femoral abp mean,map_bp,10,400,3027598,44818701,8876
Femoral ABP (Mean),map_bp,10,400,3027598,44818701,8876
FEMORAL ABP MEAN,map_bp,10,400,3027598,44818701,8876
Lt. arm BP S/D,map_bp,10,400,3027598,44818701,8876
BP Rt. Arm Mean,map_bp,10,400,3027598,44818701,8876
GROIN BP,map_bp,10,400,3027598,44818701,8876
BP Lt. leg Mean,map_bp,10,400,3027598,44818701,8876
BP Rt. Leg Mean,map_bp,10,400,3027598,44818701,8876
Non Invasive Blood Pressure mean,map_bp,10,400,3027598,44818701,8876
map,map_bp,10,400,3027598,44818701,8876
MAP,map_bp,10,400,3027598,44818701,8876
femoral line left,map_bp,10,400,3027598,44818701,8876
RIGHT FEM ALINE,map_bp,10,400,3027598,44818701,8876
Radial a-line,map_bp,10,400,3027598,44818701,8876
rad. aline,map_bp,10,400,3027598,44818701,8876
Femoral A-Line,map_bp,10,400,3027598,44818701,8876
FEM ALINE MAP,map_bp,10,400,3027598,44818701,8876
SV (Arterial),hemodynamic,10,300,3036518,44818701,9569
Stroke Volume,hemodynamic,10,300,3036518,44818701,9569
Stroke Volume (SV NICOM),hemodynamic,10,300,3036518,44818701,9569
SVI,hemodynamic,10,300,21490880,44818701,4189495
SVI (PiCCO),hemodynamic,10,300,21490880,44818701,4189495
Stroke Volume Index (SVI NICOM),hemodynamic,10,300,21490880,44818701,4189495
ScvO2 (Presep),hemodynamic,10,100,3018465,44818701,8554
ScvO2 (Presep) SQI,hemodynamic,10,100,3018465,44818701,8554
SvO2,hemodynamic,10,100,3018465,44818701,8554
SVO2,hemodynamic,10,100,3018465,44818701,8554
svo2,hemodynamic,10,100,3018465,44818701,8554
SV02,hemodynamic,10,100,3018465,44818701,8554
svo2 RIJ,hemodynamic,10,100,3018465,44818701,8554
SVO2 SAT,hemodynamic,10,100,3018465,44818701,8554
SVO2-Presep. cath.,hemodynamic,10,100,3018465,44818701,8554
ScvO2 Central Venous O2% Sat,hemodynamic,10,100,3018465,44818701,8554
Mixed Venous O2% Sat,hemodynamic,10,100,3018465,44818701,8554
Mixed Venous O2,hemodynamic,10,100,3018465,44818701,8554
Arterial BP [Systolic],systolic_bp,20,400,3004249,44818701,8876
Arterial Blood Pressure systolic,systolic_bp,20,400,3004249,44818701,8876
ART BP Systolic,systolic_bp,20,400,3004249,44818701,8876
Arterial BP #2 [Systolic],systolic_bp,20,400,3004249,44818701,8876
NBP [Systolic],systolic_bp,20,400,3004249,44818701,8876
BP Cuff [Systolic],systolic_bp,20,400,3004249,44818701,8876
BP UAC [Systolic],systolic_bp,20,400,3004249,44818701,8876
BP PAL [Systolic],systolic_bp,20,400,3004249,44818701,8876
BP Left Arm [Systolic],systolic_bp,20,400,3004249,44818701,8876
Manual BP [Systolic],systolic_bp,20,400,3004249,44818701,8876
BP Left Leg [Systolic],systolic_bp,20,400,3004249,44818701,8876
BP Right Leg [Systolic],systolic_bp,20,400,3004249,44818701,8876
BP Right Arm [Systolic],systolic_bp,20,400,3004249,44818701,8876
ABP [Systolic],systolic_bp,20,400,3004249,44818701,8876
Non Invasive Blood Pressure systolic,systolic_bp,20,400,3004249,44818701,8876
Manual Blood Pressure Systolic Left,systolic_bp,20,400,3004249,44818701,8876
Manual Blood Pressure Systolic Right,systolic_bp,20,400,3004249,44818701,8876
Heart Rate,heart_rate,20,300,3027018,44818701,8581
Temperature F,temperature,30,45,3020891,44818701,4122393
Temperature C (calc),temperature,30,45,3020891,44818701,4122393
Temp Skin [C],temperature,30,45,3020891,44818701,4122393
Temperature Fahrenheit,temperature,30,45,3020891,44818701,4122393
Temp Axillary [F],temperature,30,45,3020891,44818701,4122393
Temperature C,temperature,30,45,3020891,44818701,4122393
Temperature F (calc),temperature,30,45,3020891,44818701,4122393
Temperature Celsius,temperature,30,45,3020891,44818701,4122393
Temp Rectal [F],temperature,30,45,3020891,44818701,4122393
Temp Rectal,temperature,30,45,3020891,44818701,4122393
Blood Temperature CCO (C),temperature,30,45,3020891,44818701,4122393
O2 saturation pulseoxymetry,spo2,50,100,3016502,44818701,8554
Arterial O2 Saturation,spo2,50,100,3016502,44818701,8554
PAR-Oxygen saturation,spo2,50,100,3016502,44818701,8554
SpO2,spo2,50,100,3016502,44818701,8554
SpO2-L,spo2,50,100,3016502,44818701,8554
SaO2,spo2,50,100,3016502,44818701,8554
Tidal Volume (observed),vent_settings,50,1000,21490854,44818701,8587
Tidal Volume (Obser),vent_settings,50,1000,21490854,44818701,8587
Tidal Volume (Set),vent_settings,50,1000,21490854,44818701,8587
Tidal Volume (set),vent_settings,50,1000,21490854,44818701,8587
Tidal Volume (spontaneous),vent_settings,50,1000,3017594,44818701,8587
Tidal Volume (Spont),vent_settings,50,1000,3017594,44818701,8587
Vt [Spontaneous],vent_settings,50,1000,3017594,44818701,8587
ICP,hemodynamic,,,21490653,44818701,8876
Intra Cranial Pressure,hemodynamic,,,21490653,44818701,8876
ICP Alarm [High],hemodynamic,,,21490653,44818701,8876
ICP Alarm [Low],hemodynamic,,,21490653,44818701,8876
Intra Cranial Pressure Alarm - Low,hemodynamic,,,21490653,44818701,8876
Intra Cranial Pressure Alarm - High,hemodynamic,,,21490653,44818701,8876
Intra Cranial Pressure #2,hemodynamic,,,21490653,44818701,8876
ICP LEFT,hemodynamic,,,21490653,44818701,8876
RIGHT VENT ICP,hemodynamic,,,21490653,44818701,8876
VENT ICP,hemodynamic,,,21490653,44818701,8876
Intra Cranial Pressure #2 Alarm - Low,hemodynamic,,,21490653,44818701,8876
Intra Cranial Pressure #2 Alarm - High,hemodynamic,,,21490653,44818701,8876
icp left,hemodynamic,,,21490653,44818701,8876
ICP-ventriculostomuy,hemodynamic,,,21490653,44818701,8876
R ICP,hemodynamic,,,21490653,44818701,8876
ICP ventricle,hemodynamic,,,21490653,44818701,8876
icp,hemodynamic,,,21490653,44818701,8876
ICP  Right,hemodynamic,,,21490653,44818701,8876
Rt ICP,hemodynamic,,,21490653,44818701,8876
ICP Camino,hemodynamic,,,21490653,44818701,8876
L ICP,hemodynamic,,,21490653,44818701,8876
left icp,hemodynamic,,,21490653,44818701,8876
ICP Right,hemodynamic,,,21490653,44818701,8876
ventriculostomy icp,hemodynamic,,,21490653,44818701,8876
Cerebral Perfusion Pressure Alarm - Low,hemodynamic,,,21490695,44818701,8876
Cerebral Perfusion Pressure Alarm - High,hemodynamic,,,21490695,44818701,8876
Cerebral Perfusion Pressure,hemodynamic,,,21490695,44818701,8876
CPP,hemodynamic,,,21490695,44818701,8876
cpp,hemodynamic,,,21490695,44818701,8876
VENT CPP,hemodynamic,,,21490695,44818701,8876
Vent CPP,hemodynamic,,,21490695,44818701,8876
Camino CPP,hemodynamic,,,21490695,44818701,8876
CPP WITH CAMINO ICP,hemodynamic,,,21490695,44818701,8876
