label,item_id,route,concept_id
Solution,225943,10,3035591
Sterile Water,225944,10,3035591
NaCl 0.9%,225158,10,3035591
NaCl 0.45%,225159,10,3035591
TPN w/ Lipids,225916,12,3035591
TPN without Lipids,225917,12,3035591
Peripheral Parenteral Nutrition,225920,12,3035591
Lipids 20%,225801,12,3035591
ACD-A Citrate (1000ml),227529,2,3035875
ACD-A Citrate (500ml),227528,2,3035875
