description,observation_source_concept_id,observation_source_concept_name,observation_concept_id,concept_name
"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC",0,,38001334,"Aftercare, musculoskeletal system & connective tissue w CC"
"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC",0,,38001333,"Aftercare, musculoskeletal system & connective tissue w MCC"
AFTERCARE WITHOUT HISTORY OF MALIGNANCY AS SECONDARY DIAGNOSIS,38000764,Aftercare without History of Malignancy As Secondary Diagnosis,,
AICD GENERATOR PROCEDURES,,,38001085,AICD generator procedures
AICD LEAD PROCEDURES,,,38001107,AICD lead procedures
Alcohol Abuse & Dependence,0,,0,
"ALCOHOL/DRUG ABUSE OR DEPENDENCE, DETOXIFICATION OR OTHER SYMPTOM TREATMENT WITH COMPLICATIONS, COMORBIDITIES",38000733,"Alcohol/Drug Abuse or Dependence, Detoxification or Other Symptom Treatment with Complications, Comorbidities",,
"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AGAINST MEDICAL ADVICE",38000732,"Alcohol/Drug Abuse or Dependence, Left Against Medical Advice",,
"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA",0,,38001575,"Alcohol/drug abuse or dependence, left AMA"
ALCOHOL/DRUG ABUSE OR DEPENDENCE WITH COMPLICATIONS AND COMORBIDITIES,38000826,Alcohol/Drug Abuse or Dependence with Complications and Comorbidities,,
ALCOHOL/DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT COMPLICATIONS AND COMORBIDITIES,38000828,Alcohol/Drug Abuse or Dependence without Rehabilitation Therapy without Complications and Comorbidities,,
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,0,,38001577,Alcohol/drug abuse or dependence w/o rehabilitation therapy w MCC
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,0,,38001578,Alcohol/drug abuse or dependence w/o rehabilitation therapy w/o MCC
Alcoholic Liver Disease,0,,201612,"Alcoholic liver damage"
Allergic Reactions,0,,40589905,"Allergic reaction"
ALLERGIC REACTIONS AGE >17,38000745,Allergic Reactions Age >17,,
ALLERGIC REACTIONS W MCC,0,,38001590,Allergic reactions w MCC
ALLERGIC REACTIONS W/O MCC,0,,38001591,Allergic reactions w/o MCC
ALLOGENEIC BONE MARROW TRANSPLANT,0,,38000900,Allogeneic bone marrow transplant
AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,0,,38001080,Amputation for circ sys disorders exc upper limb & toe w CC
AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,0,,38001079,Amputation for circ sys disorders exc upper limb & toe w MCC
AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB & TOE,38000406,Amputation For Circulatory System Disorders Except Upper Limb and Toe,38001081,Amputation for circ sys disorders exc upper limb & toe w/o CC/MCC
AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,0,,38001264,Amputation for musculoskeletal sys & conn tissue dis w CC
AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,0,,38001263,Amputation for musculoskeletal sys & conn tissue dis w MCC
AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC,0,,38001265,Amputation for musculoskeletal sys & conn tissue dis w/o CC/MCC
AMPUTATION FOR MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE DISORDERS,38000511,Amputation For Musculoskeletal System and Connective Tissue Disorders,38001265,Amputation for musculoskeletal sys & conn tissue dis w/o CC/MCC
Amputation of Lower Limb Except Toes,0,,0,
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITION & METABOLIC DISORDERS",38000583,"Amputation of Lower Limb For Endocrine, Nutrition and Metabolic Disorders",,
"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC",0,,38001373,"Amputat of lower limb for endocrine,nutrit,& metabol dis w CC"
"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC",0,,38001372,"Amputat of lower limb for endocrine,nutrit,& metabol dis w MCC"
Anal Procedures,0,,0,
"ANAL & STOMAL PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000455,"Anal and Stomal Procedures with Complications, Comorbidities",38001166,Anal & stomal procedures w MCC
"ANAL & STOMAL PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000456,"Anal and Stomal Procedures without Complications, Comorbidities",38001168,Anal & stomal procedures w/o CC/MCC
ANAL & STOMAL PROCEDURES W MCC,0,,38001166,Anal & stomal procedures w MCC
ANAL & STOMAL PROCEDURES W/O CC/MCC,0,,38001168,Anal & stomal procedures w/o CC/MCC
ANGINA PECTORIS,38000438,Angina Pectoris,38001139,Angina pectoris
Angina Pectoris & Coronary Atherosclerosis,0,,38001139,Angina pectoris
Appendectomy,0,,2002907,Appendectomy
APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,0,,38001158,Appendectomy w complicated principal diag w CC
APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,0,,38001157,Appendectomy w complicated principal diag w MCC
"APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH COMPLICATIONS, COMORBIDITIES",38000462,"Appendectomy with Complicated Principal Diagnosis with Complications, Comorbidities",38001157,Appendectomy w complicated principal diag w MCC
"APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH COMPLICATIONS, COMORBIDITIES",38000464,"Appendectomy without Complicated Principal Diagnosis with Complications, Comorbidities",38001160,Appendectomy w/o complicated principal diag w MCC
APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,0,,38001160,Appendectomy w/o complicated principal diag w MCC
APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,0,,38001162,Appendectomy w/o complicated principal diag w/o CC/MCC
ARTHROSCOPY,38000530,Arthroscopy,0,
Asthma,0,,45877009,Asthma
"ATHEROSCLEROSIS WITH COMPLICATIONS, COMORBIDITIES",38000430,"Atherosclerosis with Complications, Comorbidities",38001130,Atherosclerosis w MCC
ATHEROSCLEROSIS W MCC,0,,38001130,Atherosclerosis w MCC
ATHEROSCLEROSIS W/O MCC,0,,38001131,Atherosclerosis w/o MCC
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,0,,43125851,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC
BACK & NECK PROCEDURES EXCEPT SPINAL FUSION WITH COMPLICATIONS AND COMORBIDITIES,38000802,Back and Neck Procedures Except Spinal Fusion with Complications and Comorbidities,38001279,Back & neck proc exc spinal fusion w CC/MCC or disc device/neurostim
BACK & NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT COMPLICATIONS AND COMORBIDITIES,38000803,Back and Neck Procedures Except Spinal Fusion without Complications and Comorbidities,38001280,Back & neck proc exc spinal fusion w/o CC/MCC
BACK & NECK PROC EXC SPINAL FUSION W CC/MCC OR DISC DEVICE/NEUROSTIM,0,,38001279,Back & neck proc exc spinal fusion w CC/MCC or disc device/neurostim
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,0,,38001280,Back & neck proc exc spinal fusion w/o CC/MCC
Bacterial & Tuberculous Infections of Nervous System,0,,38000969,Bacterial & tuberculous infections of nervous system w/o CC/MCC
BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM,38000867,Bacterial and Tuberculous Infections of Nervous System,38000969,Bacterial & tuberculous infections of nervous system w/o CC/MCC
BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,0,,38000968,Bacterial & tuberculous infections of nervous system w CC
BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,0,,38000967,Bacterial & tuberculous infections of nervous system w MCC
BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,0,,38000969,Bacterial & tuberculous infections of nervous system w/o CC/MCC
"BENIGN PROSTATIC HYPERTROPHY WITH COMPLICATIONS, COMORBIDITIES",38000646,"Benign Prostatic Hypertrophy with Complications, Comorbidities",,
BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY,38000769,Bilateral or Multiple Major Joint Procedures of Lower Extremity,38001251,Bilateral or multiple major joint procs of lower extremity w/o MCC
BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W MCC,0,,38001250,Bilateral or multiple major joint procs of lower extremity w MCC
BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,0,,38001251,Bilateral or multiple major joint procs of lower extremity w/o MCC
"BILIARY TACT PROCEDURES EXCEPT ONLY TOTAL CHOLECYST WITH OR WITHOUT COMMON DUCT EXPLORATION WITH COMPLICATIONS, COMORBIDITIES",38000491,"Biliary Tact Procedures Except Only Total Cholecyst with or without Common Duct Exploration with Complications, Comorbidities",38001209,Biliary tract proc except only cholecyst w or w/o c.d.e. w MCC
"BILIARY TRACT PROCEDURES EXCEPT ONLY TOTAL CHOLECYST WITH OR WITHOUT COMMON DUCT EXPLORATION WITHOUT COMPLICATIONS, COMORBIDITIES",38000492,"Biliary Tract Procedures Except Only Total Cholecyst with or without Common Duct Exploration without Complications, Comorbidities",38001211,Biliary tract proc except only cholecyst w or w/o c.d.e. w/o CC/MCC
BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,0,,38001210,Biliary tract proc except only cholecyst w or w/o c.d.e. w CC
BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,0,,38001209,Biliary tract proc except only cholecyst w or w/o c.d.e. w MCC
BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,0,,38001211,Biliary tract proc except only cholecyst w or w/o c.d.e. w/o CC/MCC
BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE,38000514,Biopsies of Musculoskeletal System and Connective Tissue,38001268,Biopsies of musculoskeletal system & connective tissue w/o CC/MCC
BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,0,,38001267,Biopsies of musculoskeletal system & connective tissue w CC
BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,0,,38001266,Biopsies of musculoskeletal system & connective tissue w MCC
BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,0,,38001268,Biopsies of musculoskeletal system & connective tissue w/o CC/MCC
Bipolar Disorders,0,,0,
BONE DISEASES & ARTHROPATHIES W MCC,0,,38001327,Bone diseases & arthropathies w MCC
BONE DISEASES & ARTHROPATHIES W/O MCC,0,,38001328,Bone diseases & arthropathies w/o MCC
Bone Marrow Transplant,38000779,Bone Marrow Transplant,0,
BONE MARROW TRANSPLANT,38000779,Bone Marrow Transplant,0,
BPD & Oth Chronic Respiratory Dis Arising In Perinatal Period,0,,0,
"Brain Contusion/Laceration & Compliated Skull FX, COMA < 1 HR OR No Coma",0,,0,
BREAST BIOPSY & LOCAL EXCISION FOR NON-MALIGNANCY,38000560,Breast Biopsy and Local Excision For Non-Malignancy,,
"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC",0,,38001352,"Breast biopsy, local excision & other breast procedures w CC/MCC"
BREAST PROCEDURE FOR NON-MALIGNANCY EXCEPT BIOPSY & LOCAL EXCISION,38000559,Breast Procedure For Non-Malignancy Except Biopsy and Local Excision,,
Breast Procedures Except Mastectomy,0,,0,
Bronchiolitis & RSV Pneumonia,0,,0,
"BRONCHITIS & ASTHMA AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000384,"Bronchitis and Asthma Age >17 with Complications, Comorbidities",38001048,Bronchitis & asthma w CC/MCC
"BRONCHITIS & ASTHMA AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000385,"Bronchitis and Asthma Age >17 without Complications, Comorbidities",38001049,Bronchitis & asthma w/o CC/MCC
BRONCHITIS & ASTHMA W CC/MCC,0,,38001048,Bronchitis & asthma w CC/MCC
BRONCHITIS & ASTHMA W/O CC/MCC,0,,38001049,Bronchitis & asthma w/o CC/MCC
Cardiac Arrest,0,,38001126,"Cardiac arrest, unexplained w/o CC/MCC"
"CARDIAC ARREST, UNEXPLAINED",38000427,"Cardiac Arrest, Unexplained",38001126,"Cardiac arrest, unexplained w/o CC/MCC"
"CARDIAC ARREST, UNEXPLAINED W CC",0,,38001125,"Cardiac arrest, unexplained w CC"
"CARDIAC ARREST, UNEXPLAINED W MCC",0,,38001124,"Cardiac arrest, unexplained w MCC"
"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC",0,,38001126,"Cardiac arrest, unexplained w/o CC/MCC"
Cardiac Arrhythmia & Conduction Disorders,0,,38001138,Cardiac arrhythmia & conduction disorders w/o CC/MCC
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,0,,38001137,Cardiac arrhythmia & conduction disorders w CC
"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS WITH COMPLICATIONS, COMORBIDITIES",38000436,"Cardiac Arrhythmia and Conduction Disorders with Complications, Comorbidities",38001136,Cardiac arrhythmia & conduction disorders w MCC
"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS WITHOUT COMPLICATIONS, COMORBIDITIES",38000437,"Cardiac Arrhythmia and Conduction Disorders without Complications, Comorbidities",38001138,Cardiac arrhythmia & conduction disorders w/o CC/MCC
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,0,,38001136,Cardiac arrhythmia & conduction disorders w MCC
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,0,,38001138,Cardiac arrhythmia & conduction disorders w/o CC/MCC
Cardiac Catheterization for Ischemic Heart Disease,0,,0,
Cardiac Catheterization w/ Circ Disord Exc Ischemic Heart Disease,0,,0,
Cardiac Congenital & Valvular Disorders,0,,38001135,Cardiac congenital & valvular disorders w/o MCC
CARDIAC CONGENITAL & VALVULAR DISORDERS AGE 0-17,38000435,Cardiac Congenital and Valvular Disorders Age 0-17,38001135,Cardiac congenital & valvular disorders w/o MCC
"CARDIAC CONGENITAL & VALVULAR DISORDERS AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000433,"Cardiac Congenital and Valvular Disorders Age >17 with Complications, Comorbidities",38001134,Cardiac congenital & valvular disorders w MCC
"CARDIAC CONGENITAL & VALVULAR DISORDERS AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000434,"Cardiac Congenital and Valvular Disorders Age >17 without Complications, Comorbidities",38001135,Cardiac congenital & valvular disorders w/o MCC
CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,0,,38001134,Cardiac congenital & valvular disorders w MCC
CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,0,,38001135,Cardiac congenital & valvular disorders w/o MCC
CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,0,,38001062,Cardiac defib implant w cardiac cath w AMI/HF/shock w MCC
CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,0,,38001063,Cardiac defib implant w cardiac cath w AMI/HF/shock w/o MCC
CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,0,,38001064,Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC
CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,0,,38001065,Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC
Cardiac Defibrillator & Heart Assist Anomaly,0,,0,
CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION,38000819,Cardiac Defibrillator Implant with Cardiac Catheterization,,
"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH ACUTE MYOCARDIAL INFARCTION (AMI), HEART FAILURE OR SHOCK",38000841,"Cardiac Defibrillator Implant with Cardiac Catheterization with Acute Myocardial Infarction (Ami), Heart Failure or Shock",38001063,Cardiac defib implant w cardiac cath w AMI/HF/shock w/o MCC
"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT ACUTE MYOCARDIAL INFARCTION (AMI), HEART FAILURE OR SHOCK",38000842,"Cardiac Defibrillator Implant with Cardiac Catheterization without Acute Myocardial Infarction (Ami), Heart Failure or Shock",38001065,Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC
CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION,38000820,Cardiac Defibrillator Implant without Cardiac Catheterization,38001067,Cardiac defibrillator implant w/o cardiac cath w/o MCC
CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,0,,38001066,Cardiac defibrillator implant w/o cardiac cath w MCC
CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,0,,38001067,Cardiac defibrillator implant w/o cardiac cath w/o MCC
Cardiac Pacemaker & Defibrillator Device Replacement,0,,38001101,Cardiac pacemaker device replacement w/o MCC
Cardiac Pacemaker & Defibrillator Revision Except Device Replacement,0,,0,
CARDIAC PACEMAKER DEVICE REPLACEMENT,38000414,Cardiac Pacemaker Device Replacement,38001101,Cardiac pacemaker device replacement w/o MCC
CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,0,,38001100,Cardiac pacemaker device replacement w MCC
CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT,38000413,Cardiac Pacemaker Revision Except Device Replacement,38001102,Cardiac pacemaker revision except device replacement w MCC
CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT,38000413,Cardiac Pacemaker Revision Except Device Replacement,38001104,Cardiac pacemaker revision except device replacement w/o CC/MCC
CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,0,,38001103,Cardiac pacemaker revision except device replacement w CC
CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,0,,38001102,Cardiac pacemaker revision except device replacement w MCC
CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,0,,38001104,Cardiac pacemaker revision except device replacement w/o CC/MCC
CARDIAC VALVE & OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETER,38000394,Cardiac Valve and Other Major Cardiothoracic Procedures with Cardiac Catheter,38001058,Cardiac valve & oth maj cardiothoracic proc w card cath w/o CC/MCC
CARDIAC VALVE & OTHER MAJOR CARDIOTHORACIC PROC WITHOUT CARDIAC CATHETER,38000395,Cardiac Valve Procedures without Cardiac Catheter,38001061,Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC
CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,0,,38001057,Cardiac valve & oth maj cardiothoracic proc w card cath w CC
CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,0,,38001056,Cardiac valve & oth maj cardiothoracic proc w card cath w MCC
CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,0,,38001058,Cardiac valve & oth maj cardiothoracic proc w card cath w/o CC/MCC
CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0,,38001060,Cardiac valve & oth maj cardiothoracic proc w/o card cath w CC
CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,0,,38001059,Cardiac valve & oth maj cardiothoracic proc w/o card cath w MCC
CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,0,,38001061,Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC
Cardiac Valve Procedures w/ Cardiac Catheterization,0,,38001058,Cardiac valve & oth maj cardiothoracic proc w card cath w/o CC/MCC
Cardiac Valve Procedures w/o Cardiac Catheterization,0,,38001061,Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC
Cardiomyopathy,0,,321319,Cardiomyopathy
CAROTID ARTERY STENT PROCEDURE,38000884,Carotid Artery Stent Procedure,38000918,Carotid artery stent procedure w/o CC/MCC
CAROTID ARTERY STENT PROCEDURE W CC,0,,38000917,Carotid artery stent procedure w CC
CAROTID ARTERY STENT PROCEDURE W MCC,0,,38000916,Carotid artery stent procedure w MCC
CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,0,,38000918,Carotid artery stent procedure w/o CC/MCC
"CELLULITIS AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000575,"Cellulitis Age >17 with Complications, Comorbidities",,
"CELLULITIS AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000576,"Cellulitis Age >17 without Complications, Comorbidities",,
Cellulitis & Other Bacterial Skin Infections,0,,0,
CELLULITIS W MCC,0,,38001364,Cellulitis w MCC
CELLULITIS W/O MCC,0,,38001365,Cellulitis w/o MCC
Cervical Spinal Fusion & Other Back/Neck Proc Exc Disc Excis/Decomp,0,,0,
CERVICAL SPINAL FUSION W CC,0,,38001261,Cervical spinal fusion w CC
CERVICAL SPINAL FUSION WITH COMPLICATIONS AND COMORBIDITIES,38000824,Cervical Spinal Fusion with Complications and Comorbidities,38001260,Cervical spinal fusion w MCC
CERVICAL SPINAL FUSION WITHOUT COMPLICATIONS AND COMORBIDITIES,38000825,Cervical Spinal Fusion without Complications and Comorbidities,38001262,Cervical spinal fusion w/o CC/MCC
CERVICAL SPINAL FUSION W MCC,0,,38001260,Cervical spinal fusion w MCC
CERVICAL SPINAL FUSION W/O CC/MCC,0,,38001262,Cervical spinal fusion w/o CC/MCC
Cesarean Delivery,0,,0,
CESAREAN SECTION W CC/MCC,0,,38001485,Cesarean section w CC/MCC
"CESAREAN SECTION WITH COMPLICATIONS, COMORBIDITIES",38000668,"Cesarean Section with Complications, Comorbidities",,
Chemotherapy,,,45879751,Chemotherapy
CHEMOTHERAPY W/ ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS OR WITH USE OF HIGH-DOSE CHEMOTHERAPY AGENT,38000793,Chemotherapy W/ Acute Leukemia As Secondary Diagnosis or with Use of High-Dose Chemotherapy Agent,,
CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS,38000708,Chemotherapy without Acute Leukemia As Secondary Diagnosis,,
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,0,,38001546,Chemotherapy w/o acute leukemia as secondary diagnosis w CC
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,0,,38001545,Chemotherapy w/o acute leukemia as secondary diagnosis w MCC
CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,0,,38001536,Chemo w acute leukemia as sdx or w high dose chemo agent w MCC
CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,0,,38001537,Chemo w acute leukemia as sdx w CC or high dose chemo agent
Chest Pain,38000441,Chest Pain,38001141,Chest pain
CHEST PAIN,38000441,Chest Pain,38001141,Chest pain
"CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT COMMON DUCT EXPLORATION WITH COMPLICATIONS, COMORBIDITIES",38000495,"Cholecystectomy Except By Laparoscope without Common Duct Exploration with Complications, Comorbidities",38001215,Cholecystectomy except by laparoscope w/o c.d.e. w MCC
