count,category,label
247,Physician ,TP TID:
245,Physician ,REVIEW OF SYSTEMS:
241,Physician ,PO QID:
240,Physician ,TSH:
229,Physician ,MEDICATIONS ON TRANSFER:
225,Physician ,MBI:
223,Physician ,MRSA:
220,Physician ,LABORATORY DATA:
220,Physician ,VBG:
218,Physician ,RUQ US:
218,Physician ,BRBPR:
218,Physician ,ERCP:
217,Physician ,HF:
215,Physician ,HYPOTHYROIDISM:
214,Physician ,RUE DVT:
213,Physician ,TEE:
212,Physician ,HLD:
212,Physician ,BACK:
211,Physician ,IDDM:
209,Physician ,HIT:
205,Physician ,CLL:
205,Physician ,LAD:
204,Physician ,ACS:
204,Physician ,HYPERLIPIDEMIA:
203,Physician ,FEVER:
203,Physician ,BUN:
203,Physician ,PR HS:
202,Physician ,SH:
495287,Radiology,MEDICAL CONDITION:
495000,Radiology,REASON FOR THIS EXAMINATION:
379094,Radiology,IMPRESSION:
242832,Radiology,INDICATION:
229337,Radiology,FINDINGS:
182618,Radiology,COMPARISON:
149505,Radiology,HISTORY:
125994,Radiology,TECHNIQUE:
56997,Radiology,WET READ:
21554,Radiology,CLINICAL HISTORY:
21010,Radiology,COMPARISONS:
15473,Radiology,STUDY:
13655,Radiology,PFI:
13191,Radiology,BONE WINDOWS:
12772,Radiology,REASON FOR EXAMINATION:
12762,Radiology,REASON FOR EXAM:
12273,Radiology,CLINICAL INDICATION:
11546,Radiology,IV CONTRAST:
11339,Radiology,PROCEDURE:
10507,Radiology,CLINICAL INFORMATION:
9728,Radiology,INDICATIONS:
8813,Radiology,CONCLUSION:
6807,Radiology,CHEST:
6260,Radiology,EXAMINATION:
6065,Radiology,INTERPRETATION:
5594,Radiology,RADIOLOGISTS:
5419,Radiology,OSSEOUS STRUCTURES:
4764,Radiology,EXAM:
4397,Radiology,CONTRAST:
4121,Radiology,ANESTHESIA:
4039,Radiology,PROCEDURE AND FINDINGS:
3882,Radiology,PORTABLE CHEST:
3662,Radiology,CT OF THE PELVIS WITH IV CONTRAST:
3643,Radiology,PELVIS:
3370,Radiology,TYPE OF EXAMINATION:
3213,Radiology,PORTABLE AP CHEST:
3074,Radiology,ABDOMEN:
3045,Radiology,CT PELVIS:
2962,Radiology,CT OF THE ABDOMEN WITH IV CONTRAST:
2931,Radiology,B:
2805,Radiology,CT ABDOMEN:
2637,Radiology,PA AND LATERAL CHEST:
2542,Radiology,COMMENT:
2464,Radiology,RADIOPHARMACEUTICAL DATA:
2419,Radiology,ADDENDUM:
2381,Radiology,TWO VIEWS:
2370,Radiology,CONTRAST HEAD CT:
2345,Radiology,OPERATORS:
2311,Radiology,REASON:
2273,Radiology,COMPLICATIONS:
2267,Radiology,VIEWS:
2113,Radiology,COMMENTS:
2061,Radiology,CT PELVIS WITH IV CONTRAST:
2029,Radiology,RADIOLOGIST:
2028,Radiology,CT OF THE CHEST WITH IV CONTRAST:
2014,Radiology,PA AND LATERAL:
1884,Radiology,MEDICATIONS:
1860,Radiology,A:
1754,Radiology,RAY:
1728,Radiology,CT OF THE PELVIS:
1713,Radiology,CT ABDOMEN WITH IV CONTRAST:
1674,Radiology,AP CHEST:
1669,Radiology,COMPARISON STUDY:
1657,Radiology,AP:
1647,Radiology,REFERENCE EXAM:
1645,Radiology,TECHNIQUE AND FINDINGS:
1645,Radiology,CT RECONSTRUCTIONS:
1638,Radiology,CT PELVIS WITH CONTRAST:
1607,Radiology,ONE VIEW:
1576,Radiology,PHYSICIANS:
1538,Radiology,CT OF THE ABDOMEN:
1538,Radiology,EG:
1521,Radiology,CT CHEST:
1506,Radiology,PA AND LATERAL VIEWS OF THE CHEST:
1501,Radiology,THREE VIEWS:
1500,Radiology,CHEST AP:
1483,Radiology,CT ABDOMEN WITH CONTRAST:
1470,Radiology,RADIOPHARMECEUTICAL DATA:
1463,Radiology,PORTABLE AP CHEST RADIOGRAPH:
1419,Radiology,CT OF THE PELVIS WITH INTRAVENOUS CONTRAST:
1410,Radiology,CT OF THE PELVIS WITH CONTRAST:
1269,Radiology,BONES:
1214,Radiology,CTA:
1207,Radiology,MUSCULOSKELETAL:
1189,Radiology,RENAL ULTRASOUND:
1160,Radiology,METHODS:
1159,Radiology,IMPRESSIONS:
1159,Radiology,CT CHEST WITH IV CONTRAST:
1153,Radiology,RIGHT UPPER QUADRANT ULTRASOUND:
1123,Radiology,PREOPERATIVE DIAGNOSIS:
1117,Radiology,CT OF THE ABDOMEN WITHOUT IV CONTRAST:
1109,Radiology,CT OF THE ABDOMEN WITH INTRAVENOUS CONTRAST:
1090,Radiology,SINGLE VIEW:
1082,Radiology,CT OF THE PELVIS WITHOUT IV CONTRAST:
1072,Radiology,CT OF THE ABDOMEN WITH CONTRAST:
1055,Radiology,UPRIGHT AP VIEW OF THE CHEST:
1025,Radiology,CONSENT:
1023,Radiology,O CONTRAST:
1014,Radiology,DLP:
1005,Radiology,CT CHEST WITH CONTRAST:
989,Radiology,FRONTAL CHEST RADIOGRAPH:
972,Radiology,COMPARISON STUDIES:
970,Radiology,PA AND LATERAL CHEST RADIOGRAPHS:
926,Radiology,PROCEDURE IN DETAIL:
924,Radiology,POSTOPERATIVE DIAGNOSIS:
905,Radiology,AP UPRIGHT CHEST:
849,Radiology,ABDOMINAL ULTRASOUND:
845,Radiology,REPORT:
838,Radiology,CT OF THE CHEST:
827,Radiology,PA AND LATERAL CHEST RADIOGRAPH:
823,Radiology,CT HEAD:
792,Radiology,AP PORTABLE CHEST:
752,Radiology,SUMMARY OF EXERCISE DATA FROM THE REPORT OF THE EXERCISE LAB:
733,Radiology,MEDICAL HISTORY:
732,Radiology,CT OF THE CHEST WITH INTRAVENOUS CONTRAST:
727,Radiology,RESULTS:
722,Radiology,DOPPLER EXAMINATION:
714,Radiology,CT HEAD WITHOUT CONTRAST:
713,Radiology,HEAD CT:
696,Radiology,BONE WINDOW:
693,Radiology,CHEST SINGLE AP FILM:
683,Radiology,NOTE:
682,Radiology,CT OF THE CHEST WITH CONTRAST:
681,Radiology,CT ABDOMEN WITHOUT IV CONTRAST:
674,Radiology,QUESTIONS TO BE ANSWERED:
641,Radiology,CT HEAD WITHOUT IV CONTRAST:
641,Radiology,PORTABLE AP:
636,Radiology,CTA CHEST:
627,Radiology,PORTABLE CHEST RADIOGRAPH:
627,Radiology,SPINE:
625,Radiology,SEDATION:
623,Radiology,CLINICIANS:
618,Radiology,NECK:
608,Radiology,CT PELVIS WITHOUT IV CONTRAST:
590,Radiology,NOTE ADDED AT ATTENDING REVIEW:
579,Radiology,O IV CONTRAST:
570,Radiology,AP CHEST RADIOGRAPH:
564,Radiology,MRA OF THE HEAD:
563,Radiology,EXAM ORDER:
547,Radiology,METHOD:
540,Radiology,THORACIC SPINE:
537,Radiology,SUMMARY OF DATA FROM THE EXERCISE LAB:
527,Radiology,BILATERAL LOWER EXTREMITY ULTRASOUND:
522,Radiology,HEAD CT WITHOUT IV CONTRAST:
518,Radiology,CT OF THE CHEST WITHOUT IV CONTRAST:
517,Radiology,CT ABDOMEN WITHOUT CONTRAST:
516,Radiology,LUMBAR SPINE:
515,Radiology,CT PELVIS WITH INTRAVENOUS CONTRAST:
512,Radiology,BRAIN MRI:
508,Radiology,SUPINE AP VIEW OF THE CHEST:
505,Radiology,HOURS:
502,Radiology,SINGLE VIEW CHEST:
501,Radiology,PORTABLE:
499,Radiology,UPRIGHT AP CHEST:
493,Radiology,CT OF THE ABDOMEN WITHOUT CONTRAST:
487,Radiology,CT ANGIOGRAM:
486,Radiology,AP SUPINE CHEST:
478,Radiology,AP PELVIS:
471,Radiology,VIDEO OROPHARYNGEAL SWALLOW:
466,Radiology,CHEST RADIOGRAPH:
464,Radiology,CT CHEST WITHOUT CONTRAST:
463,Radiology,CTA HEAD:
461,Radiology,CLINICAL DETAILS:
458,Radiology,CT ABDOMEN WITH INTRAVENOUS CONTRAST:
457,Radiology,TWO VIEWS OF THE CHEST:
457,Radiology,CT PELVIS WITHOUT CONTRAST:
448,Radiology,RIGHT:
448,Radiology,INDICATION FOR EXAM:
446,Radiology,PROCEDURE PERFORMED:
445,Radiology,CT OF THE PELVIS WITHOUT CONTRAST:
442,Radiology,CHEST PA AND LATERAL:
439,Radiology,SUMMARY OF THE PRELIMINARY REPORT FROM THE EXERCISE LAB:
438,Radiology,SINGLE AP PORTABLE VIEW OF THE CHEST:
436,Radiology,AP PORTABLE:
434,Radiology,UPRIGHT CHEST:
431,Radiology,ASSISTANT:
427,Radiology,ONE VIEW OF THE CHEST:
426,Radiology,LEFT:
424,Radiology,CHEST PORTABLE:
418,Radiology,CT OF THE ABDOMEN WITH AND WITHOUT IV CONTRAST:
418,Radiology,SUPINE AP CHEST:
418,Radiology,PROCEDURES:
413,Radiology,CT OF THE PELVIS WITHOUT INTRAVENOUS CONTRAST:
413,Radiology,MRA:
412,Radiology,SINGLE FRONTAL VIEW OF THE CHEST:
412,Radiology,CTA OF THE CHEST:
404,Radiology,UPRIGHT CHEST RADIOGRAPH:
399,Radiology,IMAGING METHOD:
393,Radiology,BILATERAL LOWER EXTREMITY VENOUS ULTRASOUND:
392,Radiology,LATERAL:
391,Radiology,CT OF THE ABDOMEN WITHOUT INTRAVENOUS CONTRAST:
391,Radiology,CERVICAL SPINE:
389,Radiology,CT OF THE ABDOMEN WITHOUT AND WITH IV CONTRAST:
389,Radiology,SINGLE AP VIEW:
386,Radiology,HEAD CT WITHOUT CONTRAST:
383,Radiology,NONCONTRAST HEAD CT:
379,Radiology,ERCP:
374,Radiology,SUMMARY FROM THE EXERCISE LAB:
370,Radiology,CT CHEST WITHOUT IV CONTRAST:
369,Radiology,LUNG BASES:
362,Radiology,CT CHEST WITH INTRAVENOUS CONTRAST:
349,Radiology,DX:
338,Radiology,PA AND LATERAL VIEWS:
330,Radiology,DECISION:
327,Radiology,ICA:
324,Radiology,CT OF THE CHEST WITHOUT CONTRAST:
323,Radiology,ABDOMEN SINGLE FILM:
323,Radiology,AP UPRIGHT CHEST RADIOGRAPH:
322,Radiology,MRA HEAD:
316,Radiology,DATE:
312,Radiology,NOTE ADDED IN ATTENDING REVIEW:
312,Radiology,PORTABLE SUPINE CHEST:
311,Radiology,CT PERFUSION:
310,Radiology,ATTENDING:
310,Radiology,LATERAL CHEST:
308,Radiology,OSSEOUS FINDINGS:
307,Radiology,COMPARISON EXAM:
301,Radiology,CT OF THE HEAD WITHOUT CONTRAST:
296,Radiology,CT:
293,Radiology,PROCEDURE DETAILS:
290,Radiology,INDICATION FOR STUDY:
290,Radiology,BONES AND SOFT TISSUES:
289,Radiology,CT ABDOMEN AND PELVIS:
288,Radiology,CHEST CT WITH IV CONTRAST:
287,Radiology,MEDIASTINUM:
287,Radiology,MRI OF THE BRAIN:
283,Radiology,FRONTAL AND LATERAL CHEST RADIOGRAPHS:
283,Radiology,LEFT SIDE:
280,Radiology,MULTIPLANAR REFORMATS:
276,Radiology,AP UPRIGHT VIEW OF THE CHEST:
