discharge laboratory data,discharge laboratory data
specialty,specialty
csf,csf
nchct,nchct
ct abdomen with contrast,ct abdomen with contrast
bones,bones
reason for micu transfer,reason for micu transfer
ct of the pelvis with intravenous contrast,ct of the pelvis with intravenous contrast
exercise,exercise
mra of the head,mra of the head
please call your doctor or go to the emergency department if,please call your doctor or go to the emergency department if
other hemodynamic data,other hemodynamic data
cautions,cautions
extrem,extrem
medications at discharge,discharge medications
contact,contact
physical examination upon discharge,physical examination upon discharge
admission history and physical,past medical history
ct,ct
contrast,contrast
this,this
lab data,lab data
discharge physical,discharge physical
comparison study,comparison study
object,object
depression,depression
pending labs,pending labs
radiologists,radiologists
instructions,instructions
medication,medication
cardiac history,cardiac history
meds,meds
prenatal history,prenatal history
the following medication changes were made,the following medication changes were made
ct of the pelvis without iv contrast,ct of the pelvis without iv contrast
laboratory values,laboratory values
comm,comm
phone number,phone number
ct of the abdomen with intravenous contrast,ct of the abdomen with intravenous contrast
stopped,stopped
sensory system,sensory system
spo2,spo2
chest ct,chest ct
etoh,etoh
vascular,vascular
ct abd,ct abd
data,data
pertinent imaging,pertinent imaging
pertinent laboratory values on discharge,pertinent laboratory values on discharge
uti,uti
treatment frequency,treatment frequency
prenatal course,prenatal course
care and recommendations at discharge,care and recommendations at discharge
t,t
recommended follow up,recommended follow up
ct of the abdomen without iv contrast,ct of the abdomen without iv contrast
ct head without contrast,ct head without contrast
past ob history,past ob history
coronary artery disease,coronary artery disease
scheduled appointments,scheduled appointments
wbc,wbc
interpreted by,interpreted by
major surgical procedures,major surgical procedures
o,o
heart,heart
orthopedics,orthopedics
delivery,delivery
major surgical or invasive procedures,major surgical or invasive procedures
tcurrent,tcurrent
results,results
discharge examination,discharge examination
medications at the time of discharge,discharge medications
condition at time of transfer,condition at time of transfer
rr,rr
height,height
the following medications were changed,the following medications were changed
fluid and electrolyte,fluid and electrolyte
pain management,pain management
chf,chf
follow up appointments recommended,follow up appointments recommended
postoperative diagnoses,postoperative diagnoses
prenatal labs,prenatal labs
oncologic history,oncologic history
past psychiatric history,past psychiatric history
site,site
pmhx,past medical history
exam at discharge,exam at discharge
acute issues,acute issues
follow up appointment,follow up appointment
thrombocytopenia,thrombocytopenia
urine culture,urine culture
transition of care,transition of care
xii,xii
principal diagnosis,principal diagnosis
colonoscopy,colonoscopy
clinical data,clinical data
followup appointments,followup appointments
physical examination on transfer,physical examination on transfer
past obstetric history,past obstetric history
stop,stop
neurosurgery,neurosurgery
abdominal ultrasound,abdominal ultrasound
car seat screening,car seat screening
pneumonia,pneumonia
ct of the abdomen with contrast,ct of the abdomen with contrast
care and recommendations after discharge,care and recommendations after discharge
estgfr,estgfr
pending results,pending results
laboratories on discharge,laboratories on discharge
condition of discharge,condition of discharge
transitional care,transitional care
alcohol,alcohol
other studies,other studies
incision,incision
iron studies,iron studies
other appointments,other appointments
in er,in er
specimen description,specimen description
gastroenterology,gastroenterology
ercp,ercp
ct of the chest,ct of the chest
we have made the following changes to your medication regimen,we have made the following changes to your medication regimen
evaluation,evaluation
medications at time of discharge,discharge medications
anticoagulation,anticoagulation
physical examination upon admission,physical examination upon admission
labs prior to discharge,labs prior to discharge
specimen type,specimen type
aspirate smear,aspirate smear
cards,cards
habits,habits
hyponatremia,hyponatremia
duodenum,duodenum
hyperlipidemia,hyperlipidemia
return to the er if,return to the er if
copd,copd
follow up instructions,follow up instructions
proph,proph
gross,gross
report to,report to
operation,operation
your incision,your incision
carotid bruit      right,carotid bruit      right
laboratory findings,laboratory findings
premedications,admission medications
preoperative diagnoses,preoperative diagnoses
blood cx,blood cx
deep tendon reflexes,deep tendon reflexes
ct angiogram,ct angiogram
card,card
laboratory studies on admission,laboratory studies on admission
pertinent studies,pertinent studies
mra,mra
please note the following changes in your medications,please note the following changes in your medications
changed,changed
car seat positioning screening,car seat positioning screening
laboratories upon admission,laboratories upon admission
occupation,occupation
initial laboratories,initial laboratories
mra head,mra head
pertinent laboratories,pertinent laboratories
meds on admission,meds on admission
medications upon admission,admission medications
biliary tree,biliary tree
carotid bruit    right,carotid bruit    right
congestive heart failure,congestive heart failure
please note the following medication changes,please note the following medication changes
admission cxr,admission cxr
distant metastasis,distant metastasis
prenatal screen,prenatal screen
pertinent laboratory data,pertinent laboratory data
ct head without iv contrast,ct head without iv contrast
your bowels,your bowels
pharyngeal phase,pharyngeal phase
ct pelvis without iv contrast,ct pelvis without iv contrast
patient,patient
transitional,transitional
on transfer,on transfer
jp drain care,jp drain care
past oncologic history,past oncologic history
dm,dm
delivery course,delivery course
pleural fluid,pleural fluid
culture data,culture data
these foods contain vitamin k,these foods contain vitamin k
clot section and biopsy slides,clot section and biopsy slides
substance abuse history,substance abuse history
oral phase,oral phase
time of death,time of death
right upper quadrant ultrasound,right upper quadrant ultrasound
heart rhythm,heart rhythm
renal us,renal us
active problems,active problems
date and time,date and time
started,started
cardiac echo,cardiac echo
regional lymph nodes,regional lymph nodes
date of discharge,date of discharge
previously scheduled appointments,previously scheduled appointments
ct abdomen without iv contrast,ct abdomen without iv contrast
procedure and findings,procedure and findings
hematological status,hematological status
additional notes,additional notes
cta neck,cta neck
ct chest with iv contrast,ct chest with iv contrast
picc line,picc line
radiopharmeceutical data,radiopharmeceutical data
discharge recommendations,discharge recommendations
date of death,date of death
cta head and neck,cta head and neck
histologic type,histologic type
thoracic spine,thoracic spine
cardio,cardio
care recommendations at the time of discharge,care recommendations at the time of discharge
oncology,oncology
emergency contact,emergency contact
exam on admission,exam on admission
stomach,stomach
hct,hct
gi bleed,gi bleed
preoperative laboratories,preoperative laboratories
leukocytosis,leukocytosis
ct chest with contrast,ct chest with contrast
hospital course continued,hospital course continued
urology,urology
primary tumor,primary tumor
left ventriculography,left ventriculography
follow up plan,follow up plan
meds at home,meds at home
initial assessment,initial assessment
the following changes were made to your home medications,the following changes were made to your home medications
misc,misc
urinary tract infection,urinary tract infection
labs upon discharge,labs upon discharge
physical  examination,physical  examination
other instructions,other instructions
miscellaneous,miscellaneous
hemodynamics,hemodynamics
lines,lines
pa and lateral views of the chest,pa and lateral views of the chest
danger signs,danger signs
altered mental status,altered mental status
followup plans,followup plans
medications upon transfer,transfer medications
daily weights,daily weights
ct pelvis without contrast,ct pelvis without contrast
hct trend,hct trend
general instructions,general instructions
head cta,head cta
medications on presentation,admission medications
pain control,pain control
present illness,present illness
on the day of discharge,on the day of discharge
microbiology data,microbiology data
sig,sig
examination on admission,examination on admission
infectious diseases,infectious diseases
indications for procedure,indications for procedure
coagulation,coagulation
the following medications were changed during this admission,the following medications were changed during this admission
with,with
tube feeds,tube feeds
discharge medication,discharge medication
ob history,ob history
discharge date,discharge date
previous medical history,previous medical history
goals of care,goals of care
transition of care issues,transition of care issues
please note,please note
video swallow,video swallow
laboratory studies on discharge,laboratory studies on discharge
state newborn screen status,state newborn screen status
lumbar spine,lumbar spine
reference exam,reference exam
cytology,cytology
exam at time of discharge,exam at time of discharge
events,events
newborn screen,newborn screen
admitting diagnoses,admitting diagnoses
diagnostic studies,diagnostic studies
bone window,bone window
extr,extr
other medical history,other medical history
coordination and gait,coordination and gait
continuation of hospital course,continuation of hospital course
hypernatremia,hypernatremia
in ed,in ed
ct scan,ct scan
addendum to discharge summary,addendum to discharge summary
postoperative course was remarkable for the following,postoperative course was remarkable for the following
na,na
medications as an outpatient,outpatient medications
operations,operations
females,females
drains,drains
respiratory status,respiratory status
antepartum course,antepartum course
discharge laboratories,discharge laboratories
on transfer to floor,on transfer to floor
pertinent interval labs,pertinent interval labs
discharge diagnosis list,discharge diagnosis list
description of wound,description of wound
report approved date,report approved date
osh,osh
surgical course,surgical course
lenis,lenis
active issues by problem,active issues by problem
laboratories on transfer,laboratories on transfer
technique and findings,technique and findings
tumor site,tumor site
cardiovascularly,cardiovascularly
pe on discharge,pe on discharge
inr,inr
the following changes were made to your medication list,the following changes were made to your medication list
activities,activities
hospital course by problems,hospital course by problems
urine output,urine output
ct of the chest with intravenous contrast,ct of the chest with intravenous contrast
physical exam upon admission,physical exam upon admission
pa and lateral chest radiographs,pa and lateral chest radiographs
path,path
age,age
labor and delivery,labor and delivery
lab results on discharge,lab results on discharge
drugs,drugs
carotid us,carotid us
gerd,gerd
dtr,dtr
vital signs on admission,vital signs on admission
car seat test,car seat test
esrd,esrd
total exercise time,total exercise time
ekg on admission,ekg on admission
cardiac biomarkers,cardiac biomarkers
antibiotics,antibiotics
ccu course,ccu course
hypoxia,hypoxia
chest films,chest films
chest pain,chest pain
general drain care,general drain care
major procedures,major procedures
rectal,rectal
reason for examination,reason for examination
phone,phone
ct neck,ct neck
procedures during admission,procedures during admission
blood gas,blood gas
discharge activity,discharge activity
prior medical history,past medical history
primary care provider,primary care provider
brain mri,brain mri
discharge placement,discharge placement
immunization recommendation,immunization recommendation
coagulopathy,coagulopathy
transfer diagnoses,transfer diagnoses
sepsis,sepsis
admission,admission
name of pediatrician,name of pediatrician
antepartum history,antepartum history
transition issues,transition issues
pending studies,pending studies
histologic grade,histologic grade
surgical procedures,surgical procedures
emergency department course,emergency department course
toes,toes
interim diagnoses,interim diagnoses
cardiovascular system,cardiovascular system
specimen,specimen
you have an appointment with provider,you have an appointment with provider
treatment,treatment
coord,coord
psychiatric,psychiatric
psychiatry,psychiatry
we made the following changes to your medicines,we made the following changes to your medicines
the following medication changes were recommended,the following medication changes were recommended
hospital course is reviewed below by problem,hospital course is reviewed below by problem
feeding and nutrition,feeding and nutrition
gout,gout
anxiety,anxiety
diarrhea,diarrhea
osh labs,osh labs
please make the following changes to your medication regimen,please make the following changes to your medication regimen
your medications have changed as follows,your medications have changed as follows
doppler examination,doppler examination
nihss,nihss
hyperglycemia,hyperglycemia
monitoring,monitoring
illnesses,illnesses
ortho,ortho
cardiac labs,cardiac labs
admit labs,admit labs
diabetes mellitus,diabetes mellitus
surgical hx,surgical hx
upright ap view of the chest,upright ap view of the chest
renal failure,renal failure
final report,final report
social hx,social hx
studies pending at discharge,studies pending at discharge
ruq ultrasound,ruq ultrasound
surgery,surgery
changes in medication,changes in medication
blood,blood
arf,arf
operation performed,operation performed
sensorimotor,sensorimotor
test performed at,test performed at
pcxr,pcxr
esophagus,esophagus
lactate trend,lactate trend
endoscopy,endoscopy
ct cspine,ct cspine
primary care doctor,primary care doctor
pertinent laboratory data on admission,pertinent laboratory data on admission
issues,issues
sputum,sputum
cxr on admission,cxr on admission
transfer diagnosis,transfer diagnosis
respiratory distress,respiratory distress
transfer disposition,transfer disposition
medications at the time of admission,admission medications
abgs,abgs
laboratory examination,laboratory examination
nih stroke scale score was,nih stroke scale score was
ct abdomen without contrast,ct abdomen without contrast
swallowing assessment,swallowing assessment
routine health care maintenance,routine health care maintenance
major surgical invasive procedures,major surgical invasive procedures
pending,pending
dx,dx
care recommendations at discharge,care recommendations at discharge
dermatology,dermatology
urine cx,urine cx
eyes,eyes
tox screen,tox screen
immunization received,immunization received
maternal medications,maternal medications
admission laboratory,admission laboratory
carotid bruit   right,carotid bruit   right
hospital  course,hospital  course
screening,screening
laboratory  data,laboratory  data
home meds,home meds
radiology data,radiology data
gyn history,gyn history
dictating for,dictating for
plastic surgery,plastic surgery
level of consciousness,level of consciousness
leni,leni
laboratory values on presentation,laboratory values on presentation
rheumatology,rheumatology
feedings,feedings
liver,liver
the following changes to your medications were made,the following changes to your medications were made
video oropharyngeal swallow,video oropharyngeal swallow
asthma,asthma
pertinent laboratory data on discharge,pertinent laboratory data on discharge
ct c spine,ct c spine
back,back
note on attending review,note on attending review
a day,a day
primary,primary
report,report
social  history,social  history
special instructions if applicable,special instructions if applicable
pathology report tissue,pathology report tissue
chronic,chronic
oral motor exam,oral motor exam
care recommendations at time of discharge,care recommendations at time of discharge
ce trend,ce trend
it was decided that she would undergo a,it was decided that she would undergo a
rads,rads
impression and plan,impression and plan
margins,margins
ct abdomen with intravenous contrast,ct abdomen with intravenous contrast
medications on arrival,admission medications
history of hospital course,history of hospital course
discharge diagnoses list,discharge diagnoses list
you have the following appointments scheduled,you have the following appointments scheduled
use of other medications,use of other medications
serologies,serologies
ct of the pelvis without contrast,ct of the pelvis without contrast
admission ekg,admission ekg
portable ap chest radiograph,portable ap chest radiograph
noncontrast head ct,noncontrast head ct
past medical and surgical history,past medical history
toxicology,toxicology
mental status exam,mental status exam
chem 7,chem 7
secondary dx,secondary dx
sh,sh
past gynecologic history,past gynecologic history
medications at time of admission,admission medications
initial physical exam,initial physical exam
endocrinology,endocrinology
perinatal history,perinatal history
the study and the report,the study and the report
chest tubes,chest tubes
mri of the brain,mri of the brain
pregnancy,pregnancy
radiologic and other studies,radiologic and other studies
addendum added by,addendum added by
secondary discharge diagnoses,secondary discharge diagnoses
conscious sedation,conscious sedation
treatment techniques,treatment techniques
laboratory data upon admission,laboratory data upon admission
preliminary report,preliminary report
delirium,delirium
ischemia,ischemia
the following changes have been made to your medication regimen,the following changes have been made to your medication regimen
primary pediatric care provider,primary pediatric care provider
cta of the head,cta of the head
tsh,tsh
ip,ip
ruq us,ruq us
continuation,continuation
past gynecological history,past gynecological history
ct of the abdomen without contrast,ct of the abdomen without contrast
lives with,lives with
gynhx,gynhx
condition at time of dictation,condition at time of dictation
peripheral blood smear,peripheral blood smear
osseous findings,osseous findings
arterial blood gas,arterial blood gas
ct of the chest with contrast,ct of the chest with contrast
warning signs,warning signs
when you leave the hospital,when you leave the hospital
attending note,attending note
mra of the neck,mra of the neck
care recommendation,care recommendation
primary diagnoses,primary diagnoses
course in hospital,course in hospital
ct of the chest without iv contrast,ct of the chest without iv contrast
you also have the following appointments,you also have the following appointments
preoperative labs,preoperative labs
notable labs,notable labs
for your heart failure diagnosis,for your heart failure diagnosis
ct pelvis with intravenous contrast,ct pelvis with intravenous contrast
it,it
medications started,medications started
hematology status,hematology status
feeding,feeding
pa and lateral chest,pa and lateral chest
nstemi,nstemi
the following changes were made in your medications,the following changes were made in your medications
consultations,consultations
car seat,car seat
multiplanar reformats,multiplanar reformats
discharge planning,discharge planning
physical examination at the time of discharge,physical examination at the time of discharge
mra neck,mra neck
allergy,allergy
symptoms,symptoms
laboratory data on transfer,laboratory data on transfer
primary discharge diagnosis,primary discharge diagnosis
primary discharge diagnoses,primary discharge diagnoses
discharge destination,discharge destination
major surgical and invasive procedures,major surgical and invasive procedures
ct spine,ct spine
change,change
pericardial fluid,pericardial fluid
tachycardia,tachycardia
teeth,teeth
circumcision,circumcision
past gyn history,past gyn history
wounds,wounds
your medications were changed as follows,your medications were changed as follows
additional pathologic findings,additional pathologic findings
we made the following changes to your home medications,we made the following changes to your home medications
cta of the chest,cta of the chest
medications changed,medications changed
lft trend,lft trend
fever,fever
labs on dc,labs on dc
perineural invasion,perineural invasion
other past history,past medical history
other pmh,past medical history
head and neck cta,head and neck cta
fevers,fevers
orientation,orientation
condition at time of discharge,condition at time of discharge
source of primary pediatric care,source of primary pediatric care
date of expiration,date of expiration
rhcm,rhcm
frontal chest radiograph,frontal chest radiograph
blood gases,blood gases
major surgical procedure,major surgical procedure
neonatal intensive care unit course by systems,neonatal intensive care unit course by systems
aspiration pneumonia,aspiration pneumonia
obhx,obhx
obstetrical history,obstetrical history
mra of the brain,mra of the brain
viii,viii
family medical history,family medical history
chest ap,chest ap
refills,refills
chem,chem
initial labs,initial labs
initial impression,initial impression
medications as outpatient,outpatient medications
car seat positioning,car seat positioning
ct chest without contrast,ct chest without contrast
preparation,preparation
bilateral lower extremity ultrasound,bilateral lower extremity ultrasound
other notable labs,other notable labs
please stop,please stop
please start the following medications,please start the following medications
acute diagnoses,acute diagnoses
b,b
radiologist,radiologist
other diagnoses,other diagnoses
follow up appointments with infant include,follow up appointments with infant include
handedness,handedness
abdominal pain,abdominal pain
to do,to do
ent,ent
ct of the head,ct of the head
immunization,immunization
radiology studies,radiology studies
admission examination,admission examination
mra brain,mra brain
weight bearing status,weight bearing status
telemetry demonstrated,telemetry demonstrated
first assistant,first assistant
relevant imaging data,relevant imaging data
iv access,iv access
acute on chronic renal failure,acute on chronic renal failure
telemetry,telemetry
investigations,investigations
history of hospital course by system,history of hospital course by system
