org_name,snomed
MORAXELLA (BRANHAMELLA) CATARRHALIS,24226003
"MORAXELLA CATARRHALIS, PRESUMPTIVE IDENTIFICATION",24226003
PRESUMPTIVE MORAXELLA CATARRHALIS,24226003
SCEDOSPORIUM APIOSPERMUM,24305000
CUNNINGHAMELLA SP.,24861001
MYCOBACTERIUM GORDONAE,24871004
ALCALIGENES FAECALIS,25223004
PAECILOMYCES SPECIES,26001000
ASPERGILLUS TERREUS,26406003
SALMONELLA SPECIES,27268008
FUSOBACTERIUM NECROPHORUM,27274008
TICK CONSISTENT WITH IXODES SPECIES,27524005
TAENIA SP.,28625000
FEW BLASTOCYSTIS HOMINIS,28923009
MODERATE BLASTOCYSTIS HOMINIS,28923009
BLASTOCYSTIS HOMINIS,28923009
MANY BLASTOCYSTIS HOMINIS,28923009
MALASSEZIA FURFUR,29619007
PRESUMPTIVE VEILLONELLA SPECIES,29875005
VEILLONELLA SPECIES,29875005
NOCARDIA ASTEROIDES,30092002
ENTEROCOCCUS CASSELIFLAVUS,30949009
VIRIDANS STREPTOCOCCI,31703004
CLADOSPORIUM SPECIES,32043002
ASPERGILLUS FUMIGATUS,32684000
FUSOBACTERIUM NUCLEATUM,32763000
PRESUMPTIVE CLOSTRIDIUM SEPTICUM,33101000
CLOSTRIDIUM SEPTICUM,33101000
ENTEROBACTER ASBURIAE,33115003
SERRATIA MARCESCENS,33522002
FUSOBACTERIUM SPECIES,33562003
PRESUMPTIVE FUSOBACTERIUM MORTIFERUM/VARIUM GROUP,33562003
PSEUDOMONAS LUTEOLA,33919008
GEOTRICHIUM SPECIES,34324005
PROPIONIBACTERIUM SPECIES,34844008
VIBRIO SPECIES,34872001
FUSARIUM SPECIES,35238009
CAMPYLOBACTER SPECIES,35408001
LISTERIA MONOCYTOGENES,36094007
MORAXELLA SPECIES,36361003
ENTEROCOCCUS MUNDTII,38004008
EXOPHIALA JEANSELMEI,38224003
PLESIOMONAS SHIGELLOIDES,38643006
AUREOBASIDIUM PULLULANS,39129008
PSEUDOMONAS FLUORESCENS,39289003
PRESUMPTIVE PROPIONIBACTERIUM ACNES,39473003
PROPIONIBACTERIUM ACNES,39473003
STREPTOCOCCUS SALIVARIUS,39888004
KLEBSIELLA OXYTOCA,40886007
BACTERIA,41146007
CHILOMASTIX MESNILI,41340007
SERRATIA SPECIES,42025004
STRONGYLOIDES STERCORALIS,42625000
PENICILLIUM SPECIES,42993004
BETA STREPTOCOCCUS GROUP B,43492007
POSITIVE FOR GROUP B BETA STREP,43492007
LEUCONOSTOC SPECIES,43639007
LACTOBACILLUS SPECIES,43690008
PROBABLE LACTOBACILLUS SPECIES,43690008
STREPTOCOCCUS ANGINOSUS (MILLERI) GROUP,44304009
STREPTOCOCCUS ANGINOSUS,44304009
"HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE NEGATIVE",44470000
"HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE POSITIVE",44470000
HAEMOPHILUS INFLUENZAE,44470000
BACILLUS SPECIES,44762009
STAPHYLOCOCCUS HOMINIS,44827007
PROTEUS VULGARIS,45834001
PROTEUS VULGARIS GROUP,45834001
BORDETELLA SPECIES,46466005
DEMATIACEOUS MOLD,47158003
STREPTOMYCES SPECIES,47304000
CANDIDA LUSITANIAE,47608006
CANDIDA TROPICALIS,47885008
ASPERGILLUS VERSICOLOR GROUP,48315007
SALMONELLA HADAR,49491006
MUCOR SP.,49782006
VIRUS,49872002
PROTEUS SPECIES,50517009
VERTICILLIUM SP.,50734003
MALASSEZIA PACHYDERMATIS,51257000
CRYPTOSPORIDIUM PARVUM OOCYSTS SEEN,51504002
HAEMOPHILUS PARAINFLUENZAE,51593004
POSITIVE FOR PARAINFLUENZA VIRUS,51593004
RHODOTORULA SPECIES,51976007
PSEUDOMONAS AERUGINOSA,52499004
EIKENELLA CORRODENS,52591004
PROBABLE MICROCOCCUS SPECIES,52864008
ENTEROCOCCUS GALLINARUM,53233007
ENDOLIMAX NANA,53272006
"CANDIDA ALBICANS, PRESUMPTIVE IDENTIFICATION",53326005
CANDIDA ALBICANS,53326005
BETA STREPTOCOCCUS,53490009
BACTEROIDES FRAGILIS,55247009
CITROBACTER AMALONATICUS,55744003
SERRATIA RUBIDAEA,55825002
KLEBSIELLA PNEUMONIAE,56415008
HISTOPLASMA CAPSULATUM,56596006
PSEUDOMONAS SPECIES,57032008
LECLERCIA ADECARBOXYLATA,57459006
STREPTOCOCCUS MITIS,57997003
PSEUDOMONAS STUTZERI,58024003
SACCHAROMYCES CEREVISIAE,58296003
MYCOBACTERIUM AVIUM COMPLEX,58503001
ENTEROBACTER SPECIES,58683007
STREPTOCOCCUS SPECIES,58800005
BASIDIOMYCETE,58943001
NEISSERIA SPECIES,59083001
GRAM POSITIVE COCCUS(COCCI),59206002
ANAEROBIC BACTERIA,59343002
NOCARDIA SPECIES,59674005
ASPERGILLUS NIDULANS,60264008
ALPHA STREPTOCOCCI,60631002
STAPHYLOCOCCUS EPIDERMIDIS,60875001
KLUYVERA SPECIES,61161003
STACHYBOTRYS SPP.,61175005
CANDIDA PARAPSILOSIS,61302002
YEAST,62093005
"YEAST, PRESUMPTIVELY NOT C. ALBICANS",62093005
SALMONELLA DUBLIN,62136003
ENTEROBACTER AEROGENES,62592009
SYNCEPHALASTRUM SPECIES,62678005
CORYNEBACTERIUM JEIKEIUM (C.D.C. GROUP JK),63410006
CORYNEBACTERIUM STRIATUM,63815007
CHLAMYDIA TRACHOMATIS,63938009
ACREMONIUM SPECIES,63996006
PRESUMPTIVE GARDNERELLA VAGINALIS,64071004
PROBABLE GARDNERELLA VAGINALIS,64071004
GARDNERELLA VAGINALIS,64071004
STAPHYLOCOCCUS SPECIES,65119002
KLEBSIELLA OZAENAE,65186004
BEAUVERIA BASSIANA,65562008
CAMPYLOBACTER JEJUNI,66543000
ASPERGILLUS FLAVUS,66821001
CRYPTOCOCCUS NEOFORMANS,67168003
GEOTRICHUM CAPITATUM,67999003
PSEUDOMONAS PUTIDA,68608003
NEISSERIA GONORRHOEAE,68704007
FONSECAEA PEDROSOI,69356007
ENTAMOEBA HARTMANNI,70632005
HAEMOPHILUS SP,71268004
MORAXELLA OSLOENSIS,72401008
ESCHERICHIA FERGUSONII,72461005
PROTEUS MIRABILIS,73457008
SALMONELLA ENTERITIDIS,73525009
BETA STREPTOCOCCUS GROUP G,75012005
KLEBSIELLA SPECIES,75032006
CITROBACTER SPECIES,75972000
STREPTOCOCCUS CONSTELLATUS,76199005
HAFNIA ALVEI,76694001
CANDIDA KRUSEI,76995003
CORYNEBACTERIUM SPECIES (DIPHTHEROIDS),77086004
NEISSERIA SUBFLAVA,77700001
ENTEROCOCCUS FAECALIS,78065002
GIARDIA LAMBLIA,78181009
GIARDIA LAMBLIA SEEN,78181009
AEROCOCCUS VIRIDANS,78803006
MYCOPLASMA SPECIES,78981005
ENTAMOEBA COLI,79235009
LEGIONELLA PNEUMOPHILA,80897008
CLOSTRIDIUM TERTIUM,81909005
GRAM NEGATIVE DIPLOCOCCI,83410001
GRAM POSITIVE RODS,83514008
TRICHODERMA SP.,83597000
MOLD,84489001
NOCARDIA FARCINICA,85516007
RHIZOMUCOR SPECIES,85711000
SHIGELLA FLEXNERI,85729005
AEROMONAS HYDROPHILA,85823000
AEROMONAS HYDROPHILIA COMPLEX,85823000
GRAM NEGATIVE ROD(S),87172008
GRAM NEGATIVE ROD #2,87172008
GRAM NEGATIVE ROD #1,87172008
GRAM NEGATIVE ROD #3,87172008
GRAM NEGATIVE ROD #4,87172008
PASTEURELLA SPECIES,87579009
ENTEROCOCCUS AVIUM,87875008
AEROMONAS SPECIES,88529008
TRICHOPHYTON SPECIES,88578003
BETA STREPTOCOCCUS GROUP C,89181007
CANCELLED,89925002
ENTEROCOCCUS FAECIUM,90272000
STEMPHYLIUM SP.,90824006
PSEUDALLESCHERIA BOYDII,91088000
ACINETOBACTER BAUMANNII,91288006
ACHROMOBACTER (ALCALIGENES) DENTRIFICANS,91620006
ALCALIGENES (ACHROMOBACTER) SPECIES,91620006
ENTEROCOCCUS RAFFINOSUS,103437000
"LEGIONELLA PNEUMOPHILA, GROUP 1",103463005
STAPHYLOCOCCUS LUGDUNENSIS,103494005
ENTEROBACTERIACEAE,106544002
CLONORCHIS/OPISTHORCHIS GROUP: EGGS,106709001
ESCHERICHIA COLI,112283007
PROVIDENCIA SPECIES,112284001
ACINETOBACTER BAUMANNII COMPLEX,113376007
CHRYSEOBACTERIUM INDOLOGENES,113549008
CDC GROUP IIB,113549008
CORYNEBCATERIUM AMYCOLATUM,113611002
CORYNEBACTERIUM UREALYTICUM SP. NOV.,113613004
BURKHOLDERIA CEPACIA GROUP,113669008
BURKHOLDERIA (PSEUDOMONAS) CEPACIA,113669008
BURKHOLDERIA SPECIES,113669008
STENOTROPHOMONAS (XANTHOMONAS) MALTOPHILIA,113697002
GEMELLA (STREPTOCOCCUS) MORBILLORUM,113765006
MYCOBACTERIUM ABSCESSUS,113838007
MYCOBACTERIUM TUBERCULOSIS COMPLEX,113858008
POSITIVE FOR M. TUBERCULOSIS BY MTD,113858008
MYCOBACTERIUM TUBERCULOSIS,113861009
STREPTOCOCCUS SANGUIS,113993000
STREPTOCOCCUS VESTIBULARIS,113998009
RALSTONIA PICKETTII,114053008
PREVOTELLA SPECIES,114129000
PREVOTELLA (BACTEROIDES) BUCCAE,114134001
PORPHYROMONAS SPECIES,114154000
CITROBACTER KOSERI,114264004
CITROBACTER KOSERI (DIVERSUS),114264004
CITROBACTER YOUNGAE,114443001
PANTOEA SPECIES,115013001
PANTOEA (ENTEROBACTER) AGGLOMERANS,115015008
ENTEROBACTER AGGLOMERANS,115015008
GORDONIA SPECIES,115143001
SHEWANELLA SPECIES,115158009
ANAEROBIC GRAM NEGATIVE ROD(S),115174004
ANAEROBIC GRAM NEGATIVE ROD #2,115174004
POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS,115329001
CANDIDA DUBLINIENSIS,115952006
CANDIDA DUBLIENSIS,115952006
"STAPHYLOCOCCUS, COAGULASE NEGATIVE",116197008
"STAPHYLOCOCCUS, COAGULASE NEGATIVE, PRESUMPTIVELY NOT S. SAPROPHYTICUS",116197008
OCHROBACTRUM ANTHROPI,116490002
POSITIVE FOR INFLUENZA A VIRAL ANTIGEN,121006005
POSITIVE FOR INFLUENZA B VIRAL ANTIGEN,121008006
PEDIOCOCCUS SPECIES,243236007
GRAM VARIABLE RODS,243288000
MORGANELLA MORGANII,243301005
"NON-FERMENTER, NOT PSEUDOMONAS AERUGINOSA",243328000
AFB GROWN IN CULTURE; ADDITIONAL INFORMATION TO FOLLOW,243365003
ACIDFAST BACILLI,243365003
MYCOBACTERIUM FORTUITUM,243378003
ANAEROBIC GRAM POSITIVE ROD(S),243398008
ANAEROBIC GRAM POSITIVE COCCUS(I),243416009
PRESUMPTIVE PEPTOSTREPTOCOCCUS SPECIES,243417000
SPOROBOLOMYCES SALMONICOLOR,243446007
TRICHOSPORON ASAHII,243475001
MYCELIA STERILIA,243555008
MICROSPORIDIUM SPECIES SEEN,243662007
NO GROWTH,264868006
ACTINOMYCETE,314421007
POSITIVE FOR RSV VIRAL ANTIGEN,315184001
DOLOSIGRANULUM PIGRUM,363765006
ENTAMOEBA HISTOLYTICA/DISPAR,363769000
BETA STREPTOCOCCUS NOT GROUP A OR B,406609007
CYTOMEGALOVIRUS,407444007
POSITIVE FOR CYTOMEGALOVIRUS,407444007
INFLUENZA A VIRUS,407479009
INFLUENZA B VIRUS,407480007
PARAINFLUENZA VIRUS TYPE 1,407489008
POSITIVE FOR PARAINFLUENZA TYPE 1,407489008
POSITIVE FOR PARAINFLUENZA TYPE 3,407493002
PARAINFLUENZA VIRUS TYPE 3,407493002
ORGANISM,410607006
ORGANISM(S),410607006
BACILLUS SPECIES; NOT ANTHRACIS,413352001
ALCALIGENES XYLOSOXIDANS,413424009
ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS SS DENTRIFICANS,413424009
"ASPERGILLUS SP. NOT FUMIGATUS, FLAVUS OR NIGER",413584009
BETA STREPTOCOCCUS GROUP A,413643004
ENTEROBACTER CLOACAE COMPLEX,414102007
POSITIVE FOR PNEUMOCYSTIS JIROVECII (CARINII),414256007
POSITIVE FOR PNEUMOCYSTIS CARINII,414256007
"NEISSERIA SPECIES, NOT GONORRHOEAE",414811005
NOCARDIA ASTEROIDES COMPLEX,414864009
NUTRITIONALLY VARIANT STREPTOCOCCUS,414886005
STREPTOCOCCUS MILLERI GROUP,415597009
STREPTOCOCCUS MILLERI,415597009
PRESUMPTIVE STREPTOCOCCUS BOVIS,415599007
STREPTOCOCCUS BOVIS,415599007
STREPTOCOCCUS INFANTARIUS SSP. COLI (STREPTOCOCCUS BOVIS),415605000
RESEMBLING MICROCOCCUS/STOMATOCOCCUS SPECIES,416544005
MICROCOCCUS/STOMATOCOCCUS SPECIES,416544005
ROTHIA (STOMATOCOCCUS) MUCILAGINOSA,416544005
RAOULTELLA ORNITHINOLYTICA,416832000
BACTEROIDES FRAGILIS GROUP,417375007
ADENOVIRUS,424470006
POSITIVE FOR ADENOVIRUS,424470006
CHRYSEOBACTERIUM MENINGOSEPTICUM,425774009
ELIZABETHKINGIA (CHRYSEOBACTERIUM) MENIGOSEPTICA,425774009
LEPTOTRICHIA TREVISANII,431794003
SLACKIA EXIGUA,434236002
CANDIDA (TORULOPSIS) GLABRATA,444877006
ENTEROBACTER SAKAZAKII,445562004
CRONOBACTER (ENTEROBACTER) SAKAZAKII,445562004
CANDIDA KEFYR,446237006
BACTEROIDES UREOLYTICUS GROUP,450602004
PSEUDOMONAS PUTIDA/FLUORESCENS,703240009
ABIOTROPHIA/GRANULICATELLA SPECIES,710322003
HAEMOPHILUS SPECIES NOT INFLUENZAE,713920003
"BETA STREPTOCOCCI, NOT GROUP A",713922006
CLOSTRIDIUM SPECIES NOT C. PERFRINGENS OR C. SEPTICUM,715871002
CANDIDA KRUSEI / CANDIDA INCONSPICUA,716256003
ENTEROBACTER GERGOVIAE,716346000
